sensor; pin; pulses; LPO; avg pulse length; minduration; maxduration; glighttime; altitude;gpstime 
0;low;0;0;0;0;0;;;
0;high;5;0.01;31;2;53;1034.01;00:00:30;19:11:52
1;low;1;0.08;2499;2499;2499;;;
1;high;0;0;0;0;0;1034.01;00:00:30;19:11:52
0;low;11;0.04;105;6;285;;;
0;high;13;0.08;188;1;484;1036.3;00:01:00;19:12:23
1;low;7;0.22;926;190;4228;;;
1;high;3;0.05;514;476;562;1036.3;00:01:00;19:12:23
0;low;4;0.02;166;34;356;;;
0;high;12;0.07;164;5;517;1043.85;00:01:30;19:12:52
1;low;1;0.01;387;387;387;;;
1;high;0;0;0;0;0;1043.85;00:01:30;19:12:52
0;low;30;0.25;253;22;757;;;
0;high;46;0.41;266;9;1154;1163.26;00:02:00;19:13:23
1;low;16;0.19;361;79;741;;;
1;high;2;0.01;157;93;222;1163.26;00:02:00;19:13:23
0;low;39;0.41;316;5;1132;;;
0;high;51;0.62;364;17;1266;1463.09;00:02:30;19:13:54
1;low;36;0.38;315;23;961;;;
1;high;18;0.17;279;44;587;1463.09;00:02:30;19:13:54
0;low;33;0.45;412;2;1063;;;
0;high;45;0.64;424;2;1264;1675.34;00:03:00;19:14:24
1;low;20;0.37;550;108;1579;;;
1;high;9;0.07;217;73;592;1675.34;00:03:00;19:14:24
0;low;56;0.42;225;3;831;;;
0;high;61;0.64;316;14;1136;1941.06;00:03:30;19:14:54
1;low;29;0.29;295;62;832;;;
1;high;12;0.13;331;55;801;1941.06;00:03:30;19:14:54
0;low;50;0.47;280;1;1027;;;
0;high;46;0.64;417;13;1450;2273.7;00:04:00;19:15:24
1;low;30;0.44;443;17;1439;;;
1;high;25;0.3;357;44;997;2273.7;00:04:00;19:15:24
0;low;42;0.41;292;8;917;;;
0;high;51;0.55;324;8;1069;2542.04;00:04:30;19:15:54
1;low;17;0.21;377;59;1011;;;
1;high;9;0.09;312;112;603;2542.04;00:04:30;19:15:54
0;low;36;0.29;239;19;728;;;
0;high;40;0.59;442;3;1737;2755.93;00:05:01;19:16:24
1;low;24;0.46;568;30;1538;;;
1;high;19;0.5;782;60;1419;2755.93;00:05:01;19:16:24
0;low;4;0.01;99;40;183;;;
0;high;9;0.04;136;14;582;2992.13;00:05:31;19:16:54
1;low;4;0.29;2190;1440;2992;;;
1;high;4;0.17;1297;61;1855;2992.13;00:05:31;19:16:54
0;low;26;0.23;265;23;939;;;
0;high;0;0;0;0;0;3323.13;00:06:01;19:17:24
1;low;10;0.4;1188;235;2982;;;
1;high;10;0.31;935;69;1699;3323.13;00:06:01;19:17:24
0;low;19;0.16;250;50;810;;;
0;high;0;0;0;0;0;3558.99;00:06:31;19:17:54
1;low;8;0.38;1435;232;5925;;;
1;high;2;0.05;712;163;1261;3558.99;00:06:31;19:17:54
0;low;28;0.3;321;13;887;;;
0;high;0;0;0;0;0;3801.42;00:07:01;19:18:24
1;low;9;0.36;1196;436;1637;;;
1;high;7;0.2;852;68;1723;3801.42;00:07:01;19:18:24
0;low;21;0.25;364;90;892;;;
0;high;0;0;0;0;0;4012.35;00:07:31;19:18:54
1;low;8;0.25;925;185;2573;;;
1;high;4;0.11;832;154;2231;4012.35;00:07:31;19:18:54
0;low;25;0.23;272;32;967;;;
0;high;0;0;0;0;0;4268.56;00:08:01;19:19:24
1;low;8;0.31;1175;371;3217;;;
1;high;1;0.01;422;422;422;4268.56;00:08:01;19:19:24
0;low;26;0.28;328;49;910;;;
0;high;0;0;0;0;0;4473.92;00:08:31;19:19:54
1;low;15;0.31;613;64;1688;;;
1;high;6;0.28;1420;521;3212;4473.92;00:08:31;19:19:54
0;low;23;0.21;278;1;864;;;
0;high;0;0;0;0;0;4679.93;00:09:01;19:20:24
1;low;9;0.46;1527;57;9675;;;
1;high;3;0.1;963;662;1273;4679.93;00:09:01;19:20:24
0;low;35;0.39;331;24;891;;;
0;high;0;0;0;0;0;4874.47;00:09:32;19:20:55
1;low;14;0.22;475;148;783;;;
1;high;9;0.24;802;325;1091;4874.47;00:09:32;19:20:55
0;low;40;0.32;243;17;580;;;
0;high;0;0;0;0;0;5147.07;00:10:02;19:21:24
1;low;17;0.42;733;184;2757;;;
1;high;9;0.24;811;164;1796;5147.07;00:10:02;19:21:24
0;low;34;0.36;321;36;885;;;
0;high;0;0;0;0;0;5425.26;00:10:32;19:21:55
1;low;11;0.29;804;91;3770;;;
1;high;9;0.23;757;91;1127;5425.26;00:10:32;19:21:55
0;low;32;0.32;295;8;857;;;
0;high;0;0;0;0;0;5681.14;00:11:02;19:22:24
1;low;10;0.4;1194;274;2408;;;
1;high;6;0.24;1178;186;2480;5681.14;00:11:02;19:22:24
0;low;43;0.33;232;10;710;;;
0;high;0;0;0;0;0;5896.99;00:11:32;19:22:55
1;low;13;0.32;731;56;1902;;;
1;high;12;0.2;504;93;686;5896.99;00:11:32;19:22:55
0;low;33;0.28;252;7;614;;;
0;high;0;0;0;0;0;6093.49;00:12:02;19:23:24
1;low;10;0.18;542;70;1462;;;
1;high;2;0.04;590;566;614;6093.49;00:12:02;19:23:24
0;low;37;0.27;214;16;649;;;
0;high;0;0;0;0;0;6343.14;00:12:32;19:23:55
1;low;9;0.2;676;436;1036;;;
1;high;1;0.02;629;629;629;6343.14;00:12:32;19:23:55
0;low;47;0.26;167;18;624;;;
0;high;0;0;0;0;0;6592.45;00:13:02;19:24:24
1;low;17;0.3;528;53;1205;;;
1;high;2;0.03;466;446;487;6592.45;00:13:02;19:24:24
0;low;36;0.27;225;30;679;;;
0;high;0;0;0;0;0;6853.91;00:13:32;19:24:55
1;low;14;0.24;503;30;883;;;
1;high;4;0.08;563;97;1355;6853.91;00:13:32;19:24:55
0;low;50;0.37;221;2;853;;;
0;high;0;0;0;0;0;7208.53;00:14:02;19:25:24
1;low;18;0.32;537;77;1433;;;
1;high;16;0.32;592;51;3406;7208.53;00:14:03;19:25:24
0;low;31;0.36;352;17;840;;;
0;high;0;0;0;0;0;7488.68;00:14:33;19:25:56
1;low;10;0.27;806;19;2704;;;
1;high;13;0.42;959;108;3161;7488.68;00:14:33;19:25:56
0;low;24;0.17;211;32;624;;;
0;high;0;0;0;0;0;7699.94;00:15:03;19:26:26
1;low;8;0.11;414;33;786;;;
1;high;4;0.16;1188;1013;1363;7699.94;00:15:03;19:26:26
0;low;16;0.11;199;35;352;;;
0;high;0;0;0;0;0;7936.14;00:15:33;19:26:56
1;low;4;0.07;496;156;946;;;
1;high;3;0.12;1168;1074;1272;7936.14;00:15:33;19:26:56
0;low;21;0.11;163;13;366;;;
0;high;0;0;0;0;0;8173.32;00:16:03;19:27:26
1;low;8;0.69;2585;195;15769;;;
1;high;3;0.09;943;469;1502;8173.32;00:16:03;19:27:26
0;low;50;0.31;183;6;734;;;
0;high;0;0;0;0;0;8434.77;00:16:33;19:27:56
1;low;13;0.25;570;137;1187;;;
1;high;6;0.06;277;88;494;8434.77;00:16:33;19:27:56
0;low;51;0.38;221;12;561;;;
0;high;0;0;0;0;0;8807.43;00:17:03;19:28:26
1;low;20;0.43;640;157;1666;;;
1;high;19;0.34;530;78;1083;8807.43;00:17:03;19:28:26
0;low;47;0.36;226;14;785;;;
0;high;0;0;0;0;0;9089.88;00:17:33;19:28:56
1;low;15;0.4;803;151;3389;;;
1;high;13;0.19;432;76;1420;9089.88;00:17:33;19:28:56
0;low;25;0.27;320;30;1012;;;
0;high;0;0;0;0;0;9336.25;00:18:03;19:29:26
1;low;10;0.2;591;200;1421;;;
1;high;6;0.31;1552;966;2903;9336.25;00:18:03;19:29:26
0;low;19;0.24;382;35;952;;;
0;high;0;0;0;0;0;9627.88;00:18:33;19:29:56
1;low;6;0.46;2297;521;10027;;;
1;high;4;0.12;909;203;1891;9627.88;00:18:33;19:29:56
0;low;26;0.23;263;27;732;;;
0;high;0;0;0;0;0;9904.75;00:19:04;19:30:26
1;low;14;0.19;409;41;739;;;
1;high;6;0.36;1813;82;5285;9904.75;00:19:04;19:30:26
0;low;30;0.27;270;13;883;;;
0;high;0;0;0;0;0;10248.22;00:19:34;19:30:56
1;low;7;0.26;1109;465;1944;;;
1;high;7;0.15;644;209;1267;10248.22;00:19:34;19:30:56
0;low;33;0.3;271;12;890;;;
0;high;0;0;0;0;0;10531;00:20:04;19:31:27
1;low;14;0.49;1042;39;2874;;;
1;high;6;0.23;1170;280;3311;10531;00:20:04;19:31:27
0;low;29;0.27;282;28;1060;;;
0;high;0;0;0;0;0;10877.09;00:20:34;19:31:56
1;low;12;0.26;651;29;3241;;;
1;high;8;0.39;1450;68;4816;10877.09;00:20:34;19:31:56
0;low;36;0.32;264;6;822;;;
0;high;0;0;0;0;0;11128.04;00:21:04;19:32:27
1;low;11;0.21;568;121;1859;;;
1;high;8;0.14;536;149;822;11128.04;00:21:04;19:32:27
0;low;45;0.35;234;20;1236;;;
0;high;0;0;0;0;0;11458.06;00:21:34;19:32:56
1;low;14;0.21;440;56;1432;;;
1;high;6;0.08;411;164;642;11458.06;00:21:34;19:32:56
0;low;32;0.26;243;10;536;;;
0;high;0;0;0;0;0;11773.64;00:22:04;19:33:27
